method,label,n,tail_interval_average_reward_mean,tail_interval_average_reward_se,tail_interval_average_reward_ci95,tail_exact_policy_gain_mean,tail_exact_policy_gain_se,tail_exact_policy_gain_ci95,learning_curve_gain_auc_mean,learning_curve_gain_auc_se,learning_curve_gain_auc_ci95,early_exact_policy_gain_mean,early_exact_policy_gain_se,early_exact_policy_gain_ci95,steps_to_80pct_oracle_mean,steps_to_80pct_oracle_se,steps_to_80pct_oracle_ci95,goals_per_1000_over_stream_mean,goals_per_1000_over_stream_se,goals_per_1000_over_stream_ci95,collision_rate_over_stream_mean,collision_rate_over_stream_se,collision_rate_over_stream_ci95,elapsed_seconds_mean,elapsed_seconds_se,elapsed_seconds_ci95,oracle_gain,policy_gain_ratio
q_learning,Q-learning,30,2.123311111111111,0.013004667433395364,0.02548914816945491,1.9649428241243814,0.040919589323439,0.08020239507394043,1.9359161436688033,0.016495568384545432,0.03233131403370905,1.5744444508813393,0.06753962487816831,0.13237766476120988,1866.6666666666667,218.3181972466843,427.9036666035012,150.21444444444444,0.5068992290757927,0.9935224889885536,0.07724333333333334,0.000984333409235102,0.0019292934821007997,3.6749879656049114,0.0077740943652007954,0.01523722495579356,2.3901108733171577,0.8221136709851877
sarsa_lambda,SARSA($\lambda$),30,2.0305055555555556,0.105619970006007,0.2070151412117737,1.938009484086625,0.10676846952603147,0.2092662002710217,1.8746940457537324,0.10084976823664979,0.19766554574383358,1.5636416710911987,0.10936152594246128,0.2143485908472241,2833.3333333333335,1025.0689164758166,2009.1350762926006,145.88888888888889,5.056079464243432,9.909915749917126,0.07520111111111111,0.002553808406597389,0.005005464476930882,4.228663692219803,0.04885720159005733,0.09576011511651238,2.3901108733171577,0.8108450138118172
replay_q_p10,Replay-Q (10),30,2.038805555555556,0.10586876532517617,0.2075027800373453,1.9802545006902004,0.10624899567214073,0.20824803151739582,1.8835866830208898,0.11340971551563206,0.22228304241063884,1.6324729211794091,0.1416703873849924,0.2776739592745851,2933.3333333333335,1103.7379887875204,2163.32645802354,143.4911111111111,5.618544812202379,11.012347831916664,0.07162444444444445,0.0027294874978375386,0.005349795495761576,8.066590206728627,0.08554910391113481,0.16767624366582423,2.3901108733171577,0.8285199330279892
dyna_latest_p10,Dyna latest (10),30,1.8594388888888886,0.10000410894602131,0.19600805353420175,1.7577786196976464,0.1076636047808072,0.2110206653703821,1.7507722939525137,0.09671736864287765,0.1895660425400402,1.729681092755239,0.10687542364985748,0.20947583035372067,3166.6666666666665,1019.4469239010637,1998.1159708460848,138.15666666666667,4.7796046983821725,9.368025208829058,0.07788222222222223,0.003123492630919883,0.006122045556602971,8.31635186644271,0.30487179855956814,0.5975487251767535,2.3901108733171577,0.7354381084665258
dyna_empirical_p5,Dyna empirical (5),30,2.1168222222222224,0.009972705193269293,0.019546502178807813,1.9962286914711167,0.04597714223456393,0.0901151987797453,2.044402367641266,0.018143644628314456,0.035561543471496336,2.063342492258171,0.028039028875446854,0.054956496595875835,1133.3333333333333,63.124276863199924,123.72358265187185,150.1477777777778,0.2455877997588207,0.48135208752728853,0.07626111111111111,0.00042204901670177595,0.0008272160727354808,8.293126326488952,0.010350777391668236,0.020287523687669742,2.3901108733171577,0.8352033848122766
dyna_empirical_p10,Dyna empirical (10),30,2.1067500000000003,0.011645886666338923,0.022825937866024288,2.057391385820316,0.034508207150972095,0.0676360860159053,2.0113997022301153,0.017446898569737215,0.03419592119668494,1.9757032461464565,0.038386374904285925,0.07523729481240041,1200.0,100.57307059414877,197.1232183645316,149.3677777777778,0.4011588683215602,0.786271381910258,0.07559888888888887,0.001022177431135961,0.0020034677650264832,12.13706877126048,0.023411147735875448,0.045885849562315874,2.3901108733171577,0.860793283185616
dyna_oracle_p10,Dyna oracle (10),30,2.1041222222222222,0.007230836006795721,0.014172438573319613,1.9980054691178204,0.04787576167143023,0.09383649287600324,2.0325426027357936,0.015878424012262242,0.031121711064033993,2.0760601325776147,0.028466715624735357,0.0557947626244813,1033.3333333333333,33.333333333333336,65.33333333333334,151.00666666666666,0.17920927498347367,0.35125017896760835,0.07504888888888889,0.0003811414373064331,0.0007470372171206088,20.313370823084067,0.020176896428616184,0.03954671700008772,2.3901108733171577,0.8359467719356689
