method,n,tail_model_tv_mean,tail_model_tv_se,tail_model_tv_ci95
dyna_latest_p10,30,0.25989289872528515,0.0029348922015880424,0.005752388715112563
dyna_empirical_p5,30,0.09405655579512091,0.0012836001805767033,0.0025158563539303385
dyna_empirical_p10,30,0.09199542162136004,0.001577509227360968,0.0030919180856274976
