method,metric,n,paired_difference_mean,paired_difference_se,paired_difference_ci95,ci_excludes_zero
sarsa_lambda,tail_interval_average_reward,30,-0.09280555555555563,0.10514360825942697,0.20608147218847686,False
sarsa_lambda,tail_exact_policy_gain,30,-0.02693334003775625,0.10643259860817342,0.2086078932720199,False
sarsa_lambda,learning_curve_gain_auc,30,-0.06122209791507094,0.0921550249788613,0.18062384895856815,False
sarsa_lambda,early_exact_policy_gain,30,-0.010802779790140712,0.11369653369081952,0.22284520603400623,False
sarsa_lambda,steps_to_80pct_oracle,30,966.6666666666666,982.0028013787479,1924.725490702346,False
replay_q_p10,tail_interval_average_reward,30,-0.08450555555555556,0.10806573122807163,0.2118088332070204,False
replay_q_p10,tail_exact_policy_gain,30,0.015311676565818643,0.12323413676700982,0.24153890806333925,False
replay_q_p10,learning_curve_gain_auc,30,-0.052329460647913835,0.11327639275048271,0.22202172979094612,False
replay_q_p10,early_exact_policy_gain,30,0.05802847029806939,0.1360291683503206,0.2666171699666284,False
replay_q_p10,steps_to_80pct_oracle,30,1066.6666666666667,1104.778891211917,2165.3666267753574,False
dyna_latest_p10,tail_interval_average_reward,30,-0.26387222222222223,0.10132843829026045,0.19860373904891046,True
dyna_latest_p10,tail_exact_policy_gain,30,-0.20716420442673505,0.10594123354522211,0.20764481774863533,False
dyna_latest_p10,learning_curve_gain_auc,30,-0.18514384971628997,0.0969399042150771,0.19000221226155112,False
dyna_latest_p10,early_exact_policy_gain,30,0.15523664187389974,0.13225710507611207,0.25922392594917965,False
dyna_latest_p10,steps_to_80pct_oracle,30,1300.0,1089.2895501830221,2135.0075183587232,False
dyna_empirical_p5,tail_interval_average_reward,30,-0.006488888888888915,0.012711929949779668,0.02491538270156815,False
dyna_empirical_p5,tail_exact_policy_gain,30,0.03128586734673474,0.06582558431363554,0.12901814525472566,False
dyna_empirical_p5,learning_curve_gain_auc,30,0.10848622397246249,0.026916808144551618,0.052756943963321166,True
dyna_empirical_p5,early_exact_policy_gain,30,0.48889804137683196,0.08184102752623919,0.1604084139514288,True
dyna_empirical_p5,steps_to_80pct_oracle,30,-733.3333333333334,244.16563688928036,478.5646483029895,True
dyna_empirical_p10,tail_interval_average_reward,30,-0.01656111111111108,0.01613417456748351,0.03162298215226768,False
dyna_empirical_p10,tail_exact_policy_gain,30,0.09244856169593486,0.06029827095472851,0.11818461107126789,False
dyna_empirical_p10,learning_curve_gain_auc,30,0.0754835585613116,0.02416792002291287,0.047369123244909224,True
dyna_empirical_p10,early_exact_policy_gain,30,0.40125879526511715,0.08113472730412921,0.15902406551609324,True
dyna_empirical_p10,steps_to_80pct_oracle,30,-666.6666666666666,259.6785516587207,508.9699612510926,True
dyna_oracle_p10,tail_interval_average_reward,30,-0.01918888888888885,0.012133826285019387,0.023782299518637997,False
dyna_oracle_p10,tail_exact_policy_gain,30,0.0330626449934391,0.05208654431192789,0.10208962685137866,False
dyna_oracle_p10,learning_curve_gain_auc,30,0.09662645906699016,0.023225289707746934,0.04552156782718399,True
dyna_oracle_p10,early_exact_policy_gain,30,0.5016156816962755,0.06559373811539272,0.12856372670616972,True
dyna_oracle_p10,steps_to_80pct_oracle,30,-833.3333333333334,209.45102482624975,410.5240086594495,True
