method,label,n,tail_interval_average_reward_mean,tail_interval_average_reward_se,tail_interval_average_reward_ci95,tail_exact_policy_gain_mean,tail_exact_policy_gain_se,tail_exact_policy_gain_ci95,learning_curve_gain_auc_mean,learning_curve_gain_auc_se,learning_curve_gain_auc_ci95,early_exact_policy_gain_mean,early_exact_policy_gain_se,early_exact_policy_gain_ci95,steps_to_80pct_oracle_mean,steps_to_80pct_oracle_se,steps_to_80pct_oracle_ci95,goals_per_1000_over_stream_mean,goals_per_1000_over_stream_se,goals_per_1000_over_stream_ci95,collision_rate_over_stream_mean,collision_rate_over_stream_se,collision_rate_over_stream_ci95,elapsed_seconds_mean,elapsed_seconds_se,elapsed_seconds_ci95,oracle_gain,policy_gain_ratio
q_learning,Q-learning,30,2.123311111111111,0.013004667433395367,0.02548914816945492,2.034914636157825,0.014455207446387468,0.028332206594919435,1.887285731901329,0.011425890699136815,0.022394745770308158,1.2363029310804303,0.035382453567242185,0.06934960899179468,923.3333333333334,95.49427777685216,187.16878444263023,150.21444444444444,0.5068992290757927,0.9935224889885536,0.07724333333333333,0.000984333409235102,0.0019292934821007997,5.269565832552811,0.03839393304654716,0.07525210877123244,2.3901108733174037,0.8513892216779984
sarsa_lambda,SARSA($\lambda$),30,2.0305055555555556,0.105619970006007,0.2070151412117737,1.9327997131547798,0.10282323443042217,0.20153353948362746,1.8318856593111037,0.09891299361409436,0.19386946748362494,1.368960115202281,0.09313294611369996,0.18254057438285193,2003.3333333333333,1013.0809198635473,1985.6386029325527,145.88888888888889,5.056079464243432,9.909915749917126,0.07520111111111111,0.002553808406597389,0.005005464476930882,5.661094822672506,0.018733162680081045,0.03671699885295885,2.3901108733174037,0.8086652944564494
replay_q_p10,Replay-Q (10),30,2.0388055555555558,0.10586876532517614,0.20750278003734524,1.989471641022984,0.10491774386987104,0.20563877798494723,1.8620332169828073,0.11271428044785559,0.22091998967779694,1.5134567134953492,0.13203397569283998,0.25878659235796636,2170.0,1100.9520435962916,2157.8660054487314,143.4911111111111,5.618544812202378,11.012347831916662,0.07162444444444445,0.0027294874978375386,0.005349795495761576,9.40726867771397,0.022822469818920093,0.04473204084508338,2.3901108733174037,0.8323762982014536
dyna_latest_p10,Dyna latest (10),30,1.8594388888888884,0.10000410894602131,0.19600805353420175,1.764226666291505,0.09724977486818362,0.1906095587416399,1.7383014187091048,0.09542786609288875,0.18703861754206194,1.5340226497066682,0.09359216515742544,0.18344064370855387,1843.3333333333333,995.4226657681169,1951.028424905509,138.15666666666667,4.7796046983821725,9.368025208829058,0.07788222222222221,0.003123492630919883,0.006122045556602971,10.6293397860912,0.02786092490413876,0.05460741281211197,2.3901108733174037,0.7381359107591566
dyna_empirical_p5,Dyna empirical (5),30,2.1168222222222224,0.009972705193269298,0.019546502178807823,2.0368328626872008,0.013579889545287119,0.026616583508762753,1.9813872299106772,0.007156620165228005,0.014026975523846888,1.7532606332134326,0.017781001011292128,0.03485076198213257,586.6666666666666,45.67081951081315,89.51480624119378,150.14777777777778,0.24558779975882075,0.48135208752728864,0.0762611111111111,0.000422049016701776,0.0008272160727354809,11.042636993962029,0.029206140277255977,0.057244034943421715,2.3901108733174037,0.8521917896888761
dyna_empirical_p10,Dyna empirical (10),30,2.10675,0.011645886666338914,0.02282593786602427,2.004788447213642,0.014470100243881696,0.028361396478008123,1.9772494923410557,0.009212193775793066,0.018055899800554408,1.7556970294971188,0.027846381059536286,0.05457890687669112,660.0,92.17674177436481,180.66641387775502,149.36777777777783,0.40115886832156017,0.7862713819102579,0.07559888888888891,0.001022177431135961,0.0020034677650264832,14.899687767463426,0.021198030782027727,0.04154814033277435,2.3901108733174037,0.8387847064312354
dyna_oracle_p10,Dyna oracle (10),30,2.1041222222222222,0.007230836006795713,0.014172438573319597,2.0445182898616276,0.010688782073859749,0.020950012864765107,2.0225837700484663,0.004226720826541361,0.008284372820021068,1.911945890512123,0.01441545280715719,0.028254287502028092,373.3333333333333,15.111336486937745,29.61821951439798,151.00666666666666,0.1792092749834737,0.3512501789676084,0.07504888888888889,0.000381141437306433,0.0007470372171206087,21.852608205067614,0.02948068485023553,0.05778214230646164,2.3901108733174037,0.855407300425313
