method,n,tail_model_tv_mean,tail_model_tv_se,tail_model_tv_ci95
dyna_latest_p10,30,0.2608292959458617,0.0027735915372286376,0.00543623941296813
dyna_empirical_p5,30,0.0946474329250709,0.0012925966255183502,0.0025334893860159665
dyna_empirical_p10,30,0.09252857438799664,0.001570947982777895,0.003079058046244674
