method,metric,n,paired_difference_mean,paired_difference_se,paired_difference_ci95,ci_excludes_zero
sarsa_lambda,tail_interval_average_reward,30,-0.09280555555555557,0.10514360825942697,0.20608147218847686,False
sarsa_lambda,tail_exact_policy_gain,30,-0.10211492300304495,0.10500931486464665,0.20581825713470744,False
sarsa_lambda,learning_curve_gain_auc,30,-0.055400072590225204,0.0929664472819253,0.18221423667257358,False
sarsa_lambda,early_exact_policy_gain,30,0.13265718412185074,0.07577786636595946,0.14852461807728054,False
sarsa_lambda,steps_to_80pct_oracle,30,1080.0,949.3179644887952,1860.6632103980385,False
replay_q_p10,tail_interval_average_reward,30,-0.08450555555555554,0.10806573122807163,0.2118088332070204,False
replay_q_p10,tail_exact_policy_gain,30,-0.04544299513484129,0.10761635144264109,0.21092804882757654,False
replay_q_p10,learning_curve_gain_auc,30,-0.025252514918521096,0.11372559787942291,0.2229021718436689,False
replay_q_p10,early_exact_policy_gain,30,0.27715378241491945,0.13669844073147192,0.26792894383368493,True
replay_q_p10,steps_to_80pct_oracle,30,1246.6666666666667,1108.1695929519522,2172.012402185826,False
dyna_latest_p10,tail_interval_average_reward,30,-0.2638722222222223,0.10132843829026045,0.19860373904891046,True
dyna_latest_p10,tail_exact_policy_gain,30,-0.27068796986632054,0.09617563044134543,0.18850423566503705,True
dyna_latest_p10,learning_curve_gain_auc,30,-0.14898431319222405,0.09473090451040928,0.18567257284040217,False
dyna_latest_p10,early_exact_policy_gain,30,0.2977197186262381,0.09648012923692638,0.1891010533043757,True
dyna_latest_p10,steps_to_80pct_oracle,30,920.0,1011.5584880335115,1982.6546365456825,False
dyna_empirical_p5,tail_interval_average_reward,30,-0.006488888888888944,0.012711929949779682,0.02491538270156818,False
dyna_empirical_p5,tail_exact_policy_gain,30,0.0019182265293757957,0.021518775157841126,0.04217679930936861,False
dyna_empirical_p5,learning_curve_gain_auc,30,0.0941014980093488,0.013437464665906652,0.026337430745177037,True
dyna_empirical_p5,early_exact_policy_gain,30,0.5169577021330026,0.03511247555722976,0.06882045209217033,True
dyna_empirical_p5,steps_to_80pct_oracle,30,-336.6666666666667,110.43106065364093,216.44487888113622,True
dyna_empirical_p10,tail_interval_average_reward,30,-0.016561111111111197,0.016134174567483506,0.03162298215226767,False
dyna_empirical_p10,tail_exact_policy_gain,30,-0.030126188944183167,0.018775191648338622,0.0367993756307437,False
dyna_empirical_p10,learning_curve_gain_auc,30,0.08996376043972748,0.013875129192353303,0.027195253217012473,True
dyna_empirical_p10,early_exact_policy_gain,30,0.519394098416689,0.04647723683569721,0.09109538419796653,True
dyna_empirical_p10,steps_to_80pct_oracle,30,-263.3333333333333,141.62304940441496,277.5811768326533,False
dyna_oracle_p10,tail_interval_average_reward,30,-0.01918888888888889,0.012133826285019413,0.02378229951863805,False
dyna_oracle_p10,tail_exact_policy_gain,30,0.009603653703802525,0.01660351121723933,0.032542881985789085,False
dyna_oracle_p10,learning_curve_gain_auc,30,0.13529803814713823,0.011966674931091003,0.023454682864938365,True
dyna_oracle_p10,early_exact_policy_gain,30,0.6756429594316926,0.03990322988305038,0.07821033057077875,True
dyna_oracle_p10,steps_to_80pct_oracle,30,-550.0,97.87982310014124,191.84445327627682,True
