method,step,n,interval_average_reward_mean,interval_average_reward_se,interval_average_reward_ci95,stream_average_reward_mean,stream_average_reward_se,stream_average_reward_ci95,interval_goals_per_1000_mean,interval_goals_per_1000_se,interval_goals_per_1000_ci95,interval_collision_rate_mean,interval_collision_rate_se,interval_collision_rate_ci95,exact_policy_gain_mean,exact_policy_gain_se,exact_policy_gain_ci95,exact_policy_goal_rate_per_1000_mean,exact_policy_goal_rate_per_1000_se,exact_policy_goal_rate_per_1000_ci95,reward_rate_estimate_mean,reward_rate_estimate_se,reward_rate_estimate_ci95,model_tv_error_mean,model_tv_error_se,model_tv_error_ci95
q_learning,100,30,-0.8216666666666667,0.07343318698103447,0.14392904648282756,-0.8216666666666667,0.07343318698103447,0.14392904648282756,19.333333333333332,3.680746217862149,7.214262587009811,0.2276666666666667,0.010290977337424612,0.02017031558135224,-1.4832071540524814,0.07735967095776813,0.15162495507722554,4.945070088848905,2.552392225527453,5.002688762033808,-0.2846326891031526,0.03276739353507782,0.06422409132875252,nan,nan,nan
q_learning,200,30,-0.164,0.1462650719220683,0.2866795409672539,-0.49283333333333346,0.08941948260715783,0.17526218591002934,49.333333333333336,6.96350640524863,13.648472554287315,0.2,0.007580980435789034,0.014858721654146508,-1.4966273770091658,0.08538327874915724,0.1673512263483482,5.898761267623627,2.068973939756458,4.055188921922658,-0.19906351097974825,0.06619539843042964,0.1297429809236421,nan,nan,nan
q_learning,300,30,0.044000000000000004,0.1287728107234178,0.2523947090178989,-0.31388888888888894,0.09024630456390703,0.1768827569452578,58.333333333333336,6.122942222162372,12.000966755438249,0.18100000000000002,0.008127574746772115,0.015930046503673346,-1.1538650158762722,0.1414213639512348,0.27718587334442024,18.78786827220781,5.385313476392834,10.555214413729955,-0.04251208372024718,0.08694182958214501,0.17040598598100423,nan,nan,nan
q_learning,400,30,0.6856666666666666,0.16017137613131993,0.31393589721738707,-0.064,0.09683130549640405,0.18978935877295194,89.0,7.555921785129098,14.809606698853033,0.18333333333333338,0.009288892555316515,0.018206229408420368,-0.8613143810978031,0.22656048055883268,0.4440585418953121,36.258501815608746,8.652917768794664,16.95971882683754,0.33594209069950465,0.11031362722573156,0.21621470936243384,nan,nan,nan
q_learning,500,30,1.3653333333333333,0.11826595135135956,0.23180126464866474,0.2218666666666667,0.09228167441561835,0.18087208185461198,120.0,5.46672273590534,10.714776562374466,0.15466666666666667,0.009392260611108125,0.018408830797771926,-0.25531597354578134,0.24744413934597306,0.4849905131181072,60.56186756442863,9.496147833685702,18.612449754023977,0.8918371055850746,0.10573936989913106,0.20724916500229687,nan,nan,nan
q_learning,600,30,1.6463333333333334,0.11722508394756394,0.2297611645372253,0.4592777777777778,0.08896918128904094,0.17437959532652023,132.0,5.432977211374105,10.648635334293246,0.12566666666666668,0.009996359490591269,0.019592864601558888,0.0984312362475159,0.2574307616558236,0.5045642928454143,75.50328688553898,9.842489619181192,19.291279653595137,1.3620139502664326,0.10175273231386298,0.19943535533517143,nan,nan,nan
q_learning,700,30,1.7873333333333332,0.11523283110287916,0.22585634896164314,0.6490000000000001,0.08283327752107776,0.1623532239413124,137.66666666666666,5.353768322316736,10.493385911740802,0.10366666666666666,0.006872957725224294,0.013470997141439615,0.4970724089851932,0.20774755791145672,0.40718521350645515,87.59815668885177,8.268392029793803,16.206048378395856,1.7754301950459443,0.09563835643442288,0.18745117861146884,nan,nan,nan
q_learning,800,30,1.9693333333333336,0.10023642549576765,0.1964633939717046,0.8140416666666666,0.07933813138984905,0.15550273752410412,145.33333333333334,4.6912325496876655,9.194815797387824,0.08266666666666665,0.006796438102508257,0.013321018680916183,0.8186788423331558,0.24385631326602356,0.47795837400140617,100.76177069112572,9.424459611736518,18.471940839003576,2.046386733492061,0.09044411643000998,0.17727046820281955,nan,nan,nan
q_learning,900,30,1.8413333333333333,0.10930368255075895,0.21423521779948754,0.9281851851851851,0.07892028018137134,0.15468374915548783,139.33333333333334,5.1847107974929365,10.162033163086155,0.08466666666666667,0.0054400247914693145,0.010662448591279856,1.1451106080938274,0.20705519551252186,0.40582818320454284,113.7345116485967,8.037792466580594,15.754073234497964,2.159494236606052,0.09461157052634023,0.18543867823162685,nan,nan,nan
q_learning,1000,30,1.9650000000000003,0.09894471926921804,0.19393164976766736,1.0318666666666667,0.07537086441765899,0.1477268942586116,145.0,4.642383454426296,9.099071570675541,0.08,0.005891743687412149,0.011547817627327813,1.3964007532642495,0.21409981726605826,0.41963564184147417,122.54843496292433,8.589351978083817,16.83512987704428,2.2542554779688495,0.07937301631475338,0.15557111197691662,nan,nan,nan
