scenario,method,metric,n,difference_vs_q_mean,difference_vs_q_se,difference_vs_q_ci95,bootstrap_ci95_low,bootstrap_ci95_high,ci_excludes_zero
loca_reward,sarsa_lambda,mean_normalized_dynamic_regret,20,0.22580232544443185,0.06053191496687154,0.11864255333506822,0.11075918184219066,0.34305530958395847,True
loca_reward,sarsa_lambda,postchange_regret_500,20,-0.03891269970311541,0.03292622228599895,0.06453539568055794,-0.10308238988648216,0.02291761279239815,False
loca_reward,sarsa_lambda,postchange_regret_2000,20,-0.0009654876096249418,0.032013111381161585,0.0627456983070767,-0.06045332247742118,0.060396096927488596,False
loca_reward,sarsa_lambda,tail_dynamic_regret,20,0.08282761591233345,0.035869559065443604,0.07030433576826946,0.022219654939718413,0.15631824165007221,True
loca_reward,latest_dyna,mean_normalized_dynamic_regret,20,-0.00040299725305622814,0.06461962564830787,0.1266544662706834,-0.11035479740018547,0.131772922744708,False
loca_reward,latest_dyna,postchange_regret_500,20,-0.078864065354035,0.03195724670837072,0.0626362035484066,-0.1393346514215184,-0.017632244535277026,True
loca_reward,latest_dyna,postchange_regret_2000,20,-0.08791408811693574,0.029053392187556506,0.056944648687610754,-0.1419378370644783,-0.030704245733890224,True
loca_reward,latest_dyna,tail_dynamic_regret,20,0.04989230536781915,0.02709244652147767,0.05310119518209623,0.0020642940460307967,0.10306474571890635,True
loca_reward,empirical_dyna,mean_normalized_dynamic_regret,20,-0.055061590138941616,0.047370460739884705,0.09284610305017402,-0.13505700461519424,0.04394632408612045,False
loca_reward,empirical_dyna,postchange_regret_500,20,-0.1592772524943991,0.028788947047866685,0.0564263362138187,-0.20852888392681798,-0.09920989796588214,True
loca_reward,empirical_dyna,postchange_regret_2000,20,-0.12111979460297802,0.021978031396928888,0.04307694153798062,-0.1596694401976357,-0.0753681168737269,True
loca_reward,empirical_dyna,tail_dynamic_regret,20,0.04492930020423676,0.01611912326849115,0.03159348160624265,0.02425007959042018,0.07998126181996935,True
loca_reward,ema_dyna,mean_normalized_dynamic_regret,20,-0.08110142006289214,0.048094960995225755,0.09426612355064248,-0.16149490693098076,0.02028064274085135,False
loca_reward,ema_dyna,postchange_regret_500,20,-0.1458315365475631,0.02787355307893145,0.054632164034705645,-0.19296495183455162,-0.0862685966265511,True
loca_reward,ema_dyna,postchange_regret_2000,20,-0.13537366060414685,0.0220754194593641,0.043267822140353636,-0.17383828026449646,-0.0890988126457913,True
loca_reward,ema_dyna,tail_dynamic_regret,20,0.018785831101513932,0.017360884947075057,0.03402733449626711,-0.002509647280145102,0.0562415577640905,False
loca_reward,prioritized_ema,mean_normalized_dynamic_regret,20,0.00588571259614532,0.07994267459827403,0.1566876422126171,-0.13281047380231664,0.1656654038840791,False
loca_reward,prioritized_ema,postchange_regret_500,20,-0.18962839773786258,0.03735574695835822,0.07321726403838211,-0.2572847915332459,-0.11855084876410629,True
loca_reward,prioritized_ema,postchange_regret_2000,20,-0.09812282701917739,0.028874784093564587,0.05659457682338659,-0.14890123703341132,-0.04127454653314217,True
loca_reward,prioritized_ema,tail_dynamic_regret,20,0.06317246924953225,0.029941632161310905,0.05868559903616937,0.012711723717974403,0.12661231645145063,True
loca_reward,cafd_uniform,mean_normalized_dynamic_regret,20,-0.1946358256529165,0.026675988542223042,0.05228493754275716,-0.24958679074163698,-0.14998564494784566,True
loca_reward,cafd_uniform,postchange_regret_500,20,-0.21169666086327404,0.02365054472519041,0.046355067661373206,-0.2537761950601032,-0.16346056453400334,True
loca_reward,cafd_uniform,postchange_regret_2000,20,-0.17337289295248018,0.01625860688378713,0.03186686949222277,-0.2025221379468487,-0.1411408051983885,True
loca_reward,cafd_uniform,tail_dynamic_regret,20,-0.008236221141384715,0.0024918787031915296,0.004884082258255398,-0.012778532183024452,-0.0033478631426383946,True
loca_reward,cafd_lite,mean_normalized_dynamic_regret,20,-0.20575924010348762,0.02683800304659583,0.05260248597132783,-0.26076424735648357,-0.1610878297442059,True
loca_reward,cafd_lite,postchange_regret_500,20,-0.26220868392791313,0.023888522835052172,0.046821504756702256,-0.29934199177505766,-0.2104785682272716,True
loca_reward,cafd_lite,postchange_regret_2000,20,-0.17845949708347925,0.01782392811132965,0.034934899098206115,-0.2103972556907302,-0.1427582971300358,True
loca_reward,cafd_lite,tail_dynamic_regret,20,-0.010687497062965224,0.002091897113163357,0.004100118341800179,-0.014565363434607197,-0.006716926120309132,True
loca_reward,cafd_surprise,mean_normalized_dynamic_regret,20,-0.20560710537871021,0.026204628097265585,0.05136107107064054,-0.2595289181915894,-0.1616150254173901,True
loca_reward,cafd_surprise,postchange_regret_500,20,-0.2226084646647642,0.028491337369403787,0.05584302124403142,-0.273288904021148,-0.1642308433637345,True
loca_reward,cafd_surprise,postchange_regret_2000,20,-0.16991076758960832,0.017745371508331192,0.03478092815632914,-0.20274990455171213,-0.13452182499727786,True
loca_reward,cafd_surprise,tail_dynamic_regret,20,-0.012188348221984129,0.0023985790696108814,0.004701214976437327,-0.016738029230245585,-0.007536553918530187,True
loca_reward,oracle_dyna,mean_normalized_dynamic_regret,20,-0.1981927270271179,0.027260021423903266,0.0534296419908504,-0.2539431595377262,-0.15261006782686334,True
loca_reward,oracle_dyna,postchange_regret_500,20,-0.18526519006422099,0.02616999255634086,0.05129318541042808,-0.23295511877374428,-0.13221365258989348,True
loca_reward,oracle_dyna,postchange_regret_2000,20,-0.16520222224721126,0.01593317102165354,0.031229015202440938,-0.19397153240953416,-0.13373138044888397,True
loca_reward,oracle_dyna,tail_dynamic_regret,20,-0.010018907184871606,0.0028480235984247944,0.005582126252912597,-0.01529584945265678,-0.004468268693596524,True
obstacle_abrupt,sarsa_lambda,mean_normalized_dynamic_regret,20,0.3473389281033804,0.10917868798959621,0.21399022845960855,0.13710951413522252,0.5557511294102978,True
obstacle_abrupt,sarsa_lambda,postchange_regret_500,20,0.04685869254271289,0.031104339676109486,0.06096450576517459,-0.012797215910383394,0.10470695053418307,False
obstacle_abrupt,sarsa_lambda,postchange_regret_2000,20,0.12373036941497888,0.045074309183408115,0.0883456459994799,0.03899887650630603,0.20818013662965734,True
obstacle_abrupt,sarsa_lambda,tail_dynamic_regret,20,0.18213389821113882,0.056142378523033096,0.11003906190514487,0.07465995704297244,0.2893005031885189,True
obstacle_abrupt,latest_dyna,mean_normalized_dynamic_regret,20,0.014816091666278796,0.07106770439254559,0.13929270060938936,-0.10093289856925462,0.1659553567890664,False
obstacle_abrupt,latest_dyna,postchange_regret_500,20,-0.019644776297699253,0.034242470415817405,0.06711524201500212,-0.08470724836566328,0.04631512831870838,False
obstacle_abrupt,latest_dyna,postchange_regret_2000,20,-0.027973480770138958,0.03240841263386766,0.0635204887623806,-0.08186697739123612,0.03931419241318827,False
obstacle_abrupt,latest_dyna,tail_dynamic_regret,20,0.040853625004651326,0.03222006039309189,0.06315131837046009,-0.00982819664107991,0.11088725223402393,False
obstacle_abrupt,empirical_dyna,mean_normalized_dynamic_regret,20,0.08737004869449054,0.05987393185040286,0.1173529064267896,-0.029491330675484487,0.19933595310313998,False
obstacle_abrupt,empirical_dyna,postchange_regret_500,20,-0.01628406489241013,0.030676388030496816,0.06012572053977376,-0.07192792486771715,0.04453098897867378,False
obstacle_abrupt,empirical_dyna,postchange_regret_2000,20,0.017940752837517296,0.0283039568421826,0.055475755410677896,-0.03604062282280045,0.07289423339882646,False
obstacle_abrupt,empirical_dyna,tail_dynamic_regret,20,0.156070297610384,0.028175819229174875,0.055224605689182756,0.10061826177249002,0.2067725930699385,True
obstacle_abrupt,ema_dyna,mean_normalized_dynamic_regret,20,-0.052664603883285754,0.0662086763258556,0.12976900559867696,-0.17841098889041856,0.07494262447454972,False
obstacle_abrupt,ema_dyna,postchange_regret_500,20,-0.030146405532968358,0.0254303160125154,0.049843419384530185,-0.07576669770965518,0.020995256226855153,False
obstacle_abrupt,ema_dyna,postchange_regret_2000,20,-0.03124217314842777,0.02839914062502384,0.05566231562504673,-0.08346706711254501,0.026150763939309308,False
obstacle_abrupt,ema_dyna,tail_dynamic_regret,20,0.0035432735490302696,0.034261352706981316,0.06715225130568338,-0.06209600408320812,0.07198427189190934,False
obstacle_abrupt,prioritized_ema,mean_normalized_dynamic_regret,20,0.05057420853977893,0.10114599138803101,0.19824614312054079,-0.12956284564706746,0.24602061448279142,False
obstacle_abrupt,prioritized_ema,postchange_regret_500,20,0.0013885142543810709,0.0336167862692545,0.06588890108773883,-0.06102746622633208,0.06589811150732985,False
obstacle_abrupt,prioritized_ema,postchange_regret_2000,20,0.047869399166121915,0.03885335865700194,0.07615258296772381,-0.02352734273414479,0.12266782543571808,False
obstacle_abrupt,prioritized_ema,tail_dynamic_regret,20,0.062573978594785,0.05060563401768394,0.09918704267466052,-0.030507274419560984,0.15997591415273912,False
obstacle_abrupt,cafd_uniform,mean_normalized_dynamic_regret,20,-0.17717280637934457,0.04458408936074582,0.08738481514706181,-0.27141650574100856,-0.11260087537225491,True
obstacle_abrupt,cafd_uniform,postchange_regret_500,20,-0.031566201402941904,0.022219271890335436,0.04354977290505745,-0.07102592148965399,0.013064210591022814,False
obstacle_abrupt,cafd_uniform,postchange_regret_2000,20,-0.07699117532334782,0.020581216339586608,0.04033918402558975,-0.11871273776417718,-0.04083228026995778,True
obstacle_abrupt,cafd_uniform,tail_dynamic_regret,20,-0.03211604746083947,0.02339624754836606,0.04585664519479748,-0.08227153304877366,0.00016855181255613717,False
