scenario,method,n,mean_normalized_dynamic_regret_mean,mean_normalized_dynamic_regret_se,mean_normalized_dynamic_regret_ci95,postchange_regret_500_mean,postchange_regret_500_se,postchange_regret_500_ci95,postchange_regret_2000_mean,postchange_regret_2000_se,postchange_regret_2000_ci95,tail_dynamic_regret_mean,tail_dynamic_regret_se,tail_dynamic_regret_ci95,tail_model_error_mean,tail_model_error_se,tail_model_error_ci95,tail_preferred_goal_fraction_mean,tail_preferred_goal_fraction_se,tail_preferred_goal_fraction_ci95,stream_average_reward_mean,stream_average_reward_se,stream_average_reward_ci95,elapsed_seconds_mean,elapsed_seconds_se,elapsed_seconds_ci95
loca_reward,q_learning,20,0.29901298025909856,0.026794657089743646,0.052517527895897545,0.43369298706421056,0.023789157474229945,0.04662674864949069,0.25697513793278004,0.01665761206609468,0.032648919649545576,0.04230252964687923,0.002222393652317674,0.004355891558542641,nan,nan,nan,0.9990491695804196,0.00038096042011634786,0.0007466824234280418,0.43572299999998776,0.019955762409449487,0.039113294322520996,5.922689128061757,0.12517171933105403,0.2453365698888659
loca_reward,sarsa_lambda,20,0.5248153057035304,0.055187701956536384,0.1081678958348113,0.39478028736109516,0.02758238971035168,0.05406148383228929,0.2560096503231551,0.030425997926164617,0.059634955935282646,0.12513014555921267,0.035798026398201094,0.07016413174047414,nan,nan,nan,0.8877656371406372,0.07612708513865897,0.1492090868717716,0.2782393749999656,0.03511709290607099,0.06882950209589914,6.00763342520222,0.142084852498303,0.27848631089667386
loca_reward,latest_dyna,20,0.29860998300604236,0.0657942017913268,0.12895663551100053,0.35482892171017555,0.025502239992338336,0.04998439038498314,0.16906104981584433,0.024265898529724456,0.047561161118259934,0.09219483501469836,0.02711163749163632,0.053138809483607184,0.17045323129251702,0.015584262501399904,0.03054515450274381,0.8467378108003107,0.08162192191498682,0.15997896695337416,0.4079921250000159,0.03940159047696713,0.07722711733485557,10.126486329827458,0.22866238364183122,0.4481782719379892
loca_reward,empirical_dyna,20,0.24395139012015693,0.03955268155184565,0.07752325584161747,0.2744157345698114,0.01798967421250638,0.03525976145651251,0.13585534332980204,0.01484767336310454,0.029101439791684898,0.08723182985111601,0.01535461398685664,0.030095043414239013,0.16009682535450342,0.010624343262222322,0.02082371279395575,0.8177947330447332,0.043311000491710556,0.08488956096375269,0.44916450000001007,0.024179193178230626,0.04739121862933203,12.274068917008117,0.32654624684286104,0.6400306438120076
loca_reward,ema_dyna,20,0.21791156019620642,0.04080322610110079,0.07997432315815756,0.2878614505166474,0.018179739669123104,0.035632289751481284,0.1216014773286332,0.015398536530639734,0.030181131600053878,0.06108836074839317,0.016534296170652156,0.03240722049447822,0.16042989566983093,0.010307139790584677,0.020201993989545967,0.930908241064491,0.049045232954021876,0.09612865658988287,0.45752612500001916,0.02461538386079985,0.048246152367167706,12.475344093376771,0.3441182971488166,0.6744718624116804
loca_reward,prioritized_ema,20,0.3048986928552439,0.07576432423102693,0.14849807549281277,0.244064589326348,0.0313625720496654,0.061470641217344184,0.15885231091360266,0.02841404953731057,0.05569153709312872,0.1054749988964115,0.03050522043471606,0.05979023205204348,0.1902033875898197,0.014115632614179285,0.027666639923791397,0.7921517579642579,0.09090885695946244,0.17818135964054638,0.40760525000005315,0.04597664541999908,0.0901142250231982,48.144869330432265,1.2978093310640617,2.543706288885561
loca_reward,cafd_uniform,20,0.10437715460618202,0.0015322487128929432,0.0030032074772701686,0.2219963262009365,0.012679796431225266,0.02485240100520152,0.08360224498029989,0.0038472528090239687,0.007540615505686979,0.03406630850549452,0.0009263999148181812,0.0018157438330436352,0.0005167845571899663,8.504408558807096e-06,1.666864077526191e-05,0.9916493714618717,0.0010342814640301758,0.0020271916694991443,0.5176198750000831,0.0007554435233311263,0.0014806693057290076,24.3149371271953,0.4531346376420558,0.8881438897784294
loca_reward,cafd_lite,20,0.09325374015561098,0.0015795817247157185,0.003095980180442808,0.1714843031362974,0.009365591698790116,0.018356559729628626,0.07851564084930082,0.004498288427572336,0.008816645318041778,0.03161503258391401,0.0009763220808154872,0.0019135912783983548,0.00045833569838553574,6.626702170750215e-06,1.2988336254670421e-05,0.9967749750249748,0.0005285697298321796,0.001035996670471072,0.5223873750000914,0.0006960464829420847,0.001364251106566486,52.97823518500663,0.9198703835100913,1.802945951679779
loca_reward,cafd_surprise,20,0.09340587488038839,0.001829177234277,0.0035851873791829195,0.21108452239944642,0.014195021961423275,0.027822243044389617,0.08706437034317173,0.005819179887651503,0.011405592579796946,0.03011418142489511,0.0008676332616143511,0.0017005611927641282,0.00020527092485220076,1.4821445634898048e-05,2.9050033444400174e-05,0.9997916666666666,0.00014338483366910056,0.00028103427399143706,0.5220211250000901,0.0007170567922124996,0.0014054313127364992,53.273984408564864,1.0419176640299002,2.0421586214986043
loca_reward,oracle_dyna,20,0.10082025323198063,0.00220011675743435,0.004312228844571326,0.2484277969999896,0.020227085615804462,0.039645087806976745,0.09177291568556876,0.006164835487071015,0.01208307755465919,0.03228362246200763,0.0015463147684937784,0.0030307769462478056,0.0,0.0,0.0,0.9998863636363637,0.00011363636363636574,0.00022272727272727684,0.5180953750000835,0.0006369741968625292,0.0012484694258505572,18.227971048140898,0.3926161829206384,0.7695277185244512
