method,label,n,tail_interval_average_reward_mean,tail_interval_average_reward_se,tail_interval_average_reward_ci95,tail_exact_policy_gain_mean,tail_exact_policy_gain_se,tail_exact_policy_gain_ci95,goals_per_1000_over_stream_mean,goals_per_1000_over_stream_se,goals_per_1000_over_stream_ci95,collision_rate_over_stream_mean,collision_rate_over_stream_se,collision_rate_over_stream_ci95,elapsed_seconds_mean,elapsed_seconds_se,elapsed_seconds_ci95,oracle_gain,policy_gain_ratio
q_learning,Q-learning,30,0.8918277777777778,0.1184706220173739,0.23220241915405285,0.6984743467635031,0.11493509484297774,0.22527278589223637,85.18555555555554,6.143897632476328,12.042039359653604,0.06939999999999999,0.0038153909594812077,0.007478166280583167,11.584215439483524,3.7922986467846957,7.432905347698004,1.4832158393756802,0.47091888329449544
sarsa_lambda,SARSA($\lambda$),30,1.1332888888888888,0.011120752330519932,0.021796674567819065,0.9649133047343242,0.05162914797802664,0.10119313003693221,96.56111111111112,3.1311507370728107,6.137055444662709,0.07930666666666666,0.0029071275426389293,0.0056979699835723015,5.616965824241439,0.10997766904482703,0.21555623132786098,1.4832158393756802,0.6505548815744029
replay_q_p10,Replay-Q (10),30,0.9515833333333334,0.12186278602385885,0.23885106060676334,0.7273590967288424,0.11839383914793593,0.23205192472995442,92.90111111111112,5.780025605332311,11.328850186451328,0.06531333333333332,0.003654739780174756,0.007163289969142522,12.291723970323801,3.9146951867344675,7.6728025659995565,1.4832158393756802,0.49039329099600537
dyna_latest_p10,Dyna latest (10),30,1.0299388888888887,0.009880484665458005,0.01936574994429769,0.9200024686729231,0.05188427388237644,0.10169317680945782,94.64555555555555,1.4367770119977537,2.816082943515597,0.07553555555555555,0.002221468416211015,0.0043540780957735895,8.372106515367825,0.025123639730484728,0.04924233387175007,1.4832158393756802,0.6202755150323728
dyna_empirical_p5,Dyna empirical (5),30,1.1938722222222222,0.00677290203685624,0.01327488799223823,1.074118606826407,0.03909372370861565,0.07662369846888667,102.37111111111112,1.2731601388033986,2.4953938720546613,0.07527999999999999,0.0013429372508684514,0.002632157011702165,8.586337809357792,0.02407975570866882,0.047196321188990885,1.4832158393756802,0.7241822655282109
dyna_empirical_p10,Dyna empirical (10),30,1.2019888888888888,0.009041799956053876,0.017721927913865596,1.1611669891248129,0.030336630362452342,0.05945979551040659,103.11555555555556,0.9219873217897745,1.807095150707958,0.07556888888888888,0.002060398933047562,0.004038381908773221,12.456155274963628,0.030357761601508267,0.0595012127389562,1.4832158393756802,0.7828712169184863
dyna_oracle_p10,Dyna oracle (10),30,1.2053277777777782,0.007747534866598071,0.015185168338532219,1.0425330785499545,0.053505439574563274,0.10487066156614401,106.20777777777779,0.15487549758785746,0.30355597527220063,0.07504111111111111,0.0005721186529789251,0.0011213525598386931,20.686989404509465,0.015095630204022237,0.029587435199883584,1.4832158393756802,0.702886964171567
