method,n,tail_model_tv_mean,tail_model_tv_se,tail_model_tv_ci95
dyna_latest_p10,30,0.2618128246399788,0.0022047340940977117,0.004321278824431515
dyna_empirical_p5,30,0.08298061751906914,0.0014991164698197371,0.002938268280846685
dyna_empirical_p10,30,0.08562694510464544,0.0012276729530312411,0.0024062389879412325
