method,metric,n,paired_difference_mean,paired_difference_se,paired_difference_ci95,ci_excludes_zero
sarsa_lambda,tail_interval_average_reward,30,-0.09280555555555557,0.10514360825942697,0.20608147218847686,False
sarsa_lambda,tail_exact_policy_gain,30,-0.10211492300308704,0.1050093148647421,0.20581825713489452,False
sarsa_lambda,learning_curve_gain_auc,30,-0.05538040192409916,0.09296594767205701,0.18221325743723174,False
sarsa_lambda,early_exact_policy_gain,30,0.13277520811922627,0.07576622815176083,0.14850180717745123,False
sarsa_lambda,steps_to_80pct_oracle,30,1080.0,949.3179644887952,1860.6632103980385,False
replay_q_p10,tail_interval_average_reward,30,-0.08450555555555554,0.10806573122807163,0.2118088332070204,False
replay_q_p10,tail_exact_policy_gain,30,-0.0454429951348737,0.10761635144266288,0.21092804882761923,False
replay_q_p10,learning_curve_gain_auc,30,-0.025233474779508554,0.11372632780440911,0.22290360249664184,False
replay_q_p10,early_exact_policy_gain,30,0.2772680232496611,0.13669309781962785,0.2679184717264706,True
replay_q_p10,steps_to_80pct_oracle,30,1246.6666666666667,1108.1695929519522,2172.012402185826,False
dyna_latest_p10,tail_interval_average_reward,30,-0.0508444444444444,0.10837033347911122,0.212405853619058,False
dyna_latest_p10,tail_exact_policy_gain,30,0.02219795790672491,0.10628667226877857,0.208321877646806,False
dyna_latest_p10,learning_curve_gain_auc,30,-0.01751331162910413,0.10855869380103732,0.21277503985003313,False
dyna_latest_p10,early_exact_policy_gain,30,-0.172499760379175,0.14675250272778964,0.2876349053464677,False
dyna_latest_p10,steps_to_80pct_oracle,30,2230.0,1047.7468984532431,2053.5839209683563,True
dyna_empirical_p5,tail_interval_average_reward,30,-0.03678333333333328,0.10892762109736463,0.21349813735083467,False
dyna_empirical_p5,tail_exact_policy_gain,30,0.03714468806174563,0.10561761929720583,0.2070105338225234,False
dyna_empirical_p5,learning_curve_gain_auc,30,-0.11152408641233295,0.12448788924056425,0.24399626291150595,False
dyna_empirical_p5,early_exact_policy_gain,30,-0.5087166261075136,0.12138725776181498,0.23791902521315736,True
dyna_empirical_p5,steps_to_80pct_oracle,30,3076.6666666666665,1194.0819908056078,2340.400701978991,True
dyna_empirical_p10,tail_interval_average_reward,30,0.07730555555555554,0.01307634543437555,0.02562963705137608,True
dyna_empirical_p10,tail_exact_policy_gain,30,0.15564520669611134,0.014861219509781587,0.02912799023917191,True
dyna_empirical_p10,learning_curve_gain_auc,30,0.13414237301704215,0.02745332527384566,0.05380851753673749,True
dyna_empirical_p10,early_exact_policy_gain,30,-0.006520154834888325,0.1013190976388124,0.1985854313720723,False
dyna_empirical_p10,steps_to_80pct_oracle,30,830.0,239.6429336162114,469.70014988777433,True
dyna_oracle_p10,tail_interval_average_reward,30,0.08317222222222222,0.012811342265130239,0.025110230839655266,True
dyna_oracle_p10,tail_exact_policy_gain,30,0.16509296466176845,0.013560551607520559,0.026578681150740295,True
dyna_oracle_p10,learning_curve_gain_auc,30,0.17608622862020262,0.010894933080676992,0.021354068838126905,True
dyna_oracle_p10,early_exact_policy_gain,30,0.14787796406631568,0.03955699605219839,0.07753171226230884,True
dyna_oracle_p10,steps_to_80pct_oracle,30,250.0,118.97551182404345,233.19200317512517,True
