method,step,n,interval_average_reward_mean,interval_average_reward_se,interval_average_reward_ci95,stream_average_reward_mean,stream_average_reward_se,stream_average_reward_ci95,interval_goals_per_1000_mean,interval_goals_per_1000_se,interval_goals_per_1000_ci95,interval_collision_rate_mean,interval_collision_rate_se,interval_collision_rate_ci95,exact_policy_gain_mean,exact_policy_gain_se,exact_policy_gain_ci95,exact_policy_goal_rate_per_1000_mean,exact_policy_goal_rate_per_1000_se,exact_policy_goal_rate_per_1000_ci95,reward_rate_estimate_mean,reward_rate_estimate_se,reward_rate_estimate_ci95,model_tv_error_mean,model_tv_error_se,model_tv_error_ci95
q_learning,100,30,-0.8216666666666668,0.07343318698103447,0.14392904648282756,-0.8216666666666668,0.07343318698103447,0.14392904648282756,19.333333333333332,3.6807462178621493,7.214262587009812,0.22766666666666666,0.010290977337424612,0.02017031558135224,-1.4832069285269507,0.07735962494381533,0.15162486488987806,4.945070704203558,2.552392184448095,5.002688681518266,-0.28463268910315254,0.03276739353507782,0.06422409132875252,nan,nan,nan
q_learning,200,30,-0.164,0.1462650719220683,0.2866795409672539,-0.4928333333333333,0.08941948260715782,0.17526218591002932,49.333333333333336,6.96350640524863,13.648472554287315,0.2,0.007580980435789035,0.01485872165414651,-1.4964863629443728,0.08535713635639107,0.1672999872585265,5.898761280119649,2.068973938531231,4.055188919521213,-0.1990635109797483,0.06619539843042963,0.12974298092364206,nan,nan,nan
q_learning,300,30,0.04400000000000001,0.1287728107234178,0.2523947090178989,-0.31388888888888894,0.09024630456390703,0.1768827569452578,58.333333333333336,6.122942222162374,12.000966755438252,0.18100000000000002,0.008127574746772115,0.015930046503673346,-1.1538650158779389,0.14142136395125196,0.2771858733444538,18.787868272244783,5.385313476392218,10.555214413728747,-0.04251208372024719,0.08694182958214501,0.17040598598100423,nan,nan,nan
q_learning,400,30,0.6856666666666666,0.16017137613131993,0.31393589721738707,-0.064,0.09683130549640405,0.18978935877295194,89.0,7.555921785129098,14.809606698853033,0.18333333333333338,0.009288892555316513,0.018206229408420364,-0.8613143810975369,0.22656048055882078,0.4440585418952887,36.25850181563019,8.652917768793417,16.959718826835097,0.33594209069950465,0.11031362722573156,0.21621470936243384,nan,nan,nan
q_learning,500,30,1.3653333333333333,0.11826595135135956,0.23180126464866474,0.22186666666666663,0.09228167441561835,0.18087208185461198,120.0,5.46672273590534,10.714776562374466,0.15466666666666667,0.009392260611108125,0.018408830797771926,-0.25531597354465196,0.2474441393459811,0.48499051311812297,60.56186756447162,9.496147833686727,18.612449754025985,0.8918371055850746,0.10573936989913106,0.20724916500229687,nan,nan,nan
q_learning,600,30,1.6463333333333334,0.11722508394756394,0.2297611645372253,0.45927777777777773,0.08896918128904094,0.17437959532652023,132.0,5.432977211374105,10.648635334293246,0.12566666666666668,0.009996359490591269,0.019592864601558888,0.09843123624878668,0.25743076165574136,0.5045642928452531,75.50328688558712,9.842489619178712,19.291279653590276,1.3620139502664328,0.101752732313863,0.19943535533517148,nan,nan,nan
q_learning,700,30,1.787333333333333,0.11523283110287916,0.22585634896164314,0.6489999999999999,0.08283327752107775,0.16235322394131238,137.66666666666666,5.353768322316735,10.4933859117408,0.10366666666666667,0.006872957725224294,0.013470997141439615,0.4970724089864547,0.2077475579113782,0.40718521350630127,87.59815668890391,8.268392029790629,16.20604837838963,1.7754301950459441,0.09563835643442288,0.18745117861146884,nan,nan,nan
q_learning,800,30,1.9693333333333336,0.10023642549576767,0.19646339397170462,0.8140416666666666,0.07933813138984905,0.15550273752410412,145.33333333333334,4.6912325496876655,9.194815797387824,0.08266666666666665,0.006796438102508257,0.013321018680916183,0.8186788423342107,0.24385631326596643,0.4779583740012942,100.76177069116683,9.424459611734623,18.47194083899986,2.046386733492061,0.09044411643000998,0.17727046820281955,nan,nan,nan
q_learning,900,30,1.8413333333333333,0.10930368255075895,0.21423521779948754,0.9281851851851853,0.07892028018137134,0.15468374915548783,139.33333333333334,5.1847107974929365,10.162033163086155,0.08466666666666667,0.005440024791469315,0.010662448591279858,1.1451106080947926,0.2070551955124293,0.4058281832043614,113.73451164863519,8.03779246657727,15.75407323449145,2.159494236606052,0.09461157052634023,0.18543867823162685,nan,nan,nan
q_learning,1000,30,1.9650000000000003,0.09894471926921806,0.1939316497676674,1.0318666666666667,0.07537086441765899,0.1477268942586116,145.0,4.642383454426296,9.099071570675541,0.08,0.005891743687412149,0.011547817627327813,1.3964007532650808,0.21409981726590233,0.4196356418411685,122.54843496295834,8.589351978078026,16.83512987703293,2.2542554779688495,0.07937301631475338,0.15557111197691662,nan,nan,nan
q_learning,1100,30,1.8509999999999998,0.09073816062221808,0.17784679481954743,1.1063333333333334,0.07461057485618985,0.14623672671813212,139.66666666666666,4.247604688982925,8.325305190406533,0.082,0.006421945134485721,0.012587012463592014,1.293451176736265,0.18193615335382238,0.3565948605734919,117.40893478638934,7.9470129649341406,15.576145411270915,2.3135246912815797,0.08763108037832355,0.17175691754151415,nan,nan,nan
q_learning,1200,30,2.124,0.08606145892699983,0.16868045949691968,1.191138888888889,0.07086611235394367,0.1388975802137296,152.66666666666666,4.0381324161005026,7.9147395355569845,0.08199999999999998,0.005821087310053369,0.011409331127704604,1.6416315409394537,0.1305732485016535,0.2559235670632409,133.88653809077698,4.962562190414145,9.726621893211725,2.424248542607987,0.077818961432428,0.1525251644075589,nan,nan,nan
q_learning,1300,30,2.001,0.09822838740381529,0.19252763931147795,1.2534358974358975,0.06880909734142145,0.13486583078918604,147.0,4.552377173635164,8.922659260324922,0.086,0.006924884330334028,0.013572773287454694,0.8257254118817098,0.22713136741694773,0.44517748013721753,100.11287337421842,9.162848768760416,17.959183586770415,2.42544029306368,0.06651995462195401,0.13037911105902986,nan,nan,nan
q_learning,1400,30,1.910666666666667,0.08665950456701657,0.16985262895135247,1.3003809523809522,0.06627678098363396,0.12990249072792256,143.0,3.987047996216992,7.814614072585305,0.09233333333333335,0.006724177227510677,0.013179387365920928,1.2469597338133505,0.16547185650564028,0.32432483875105494,117.09042660747328,6.777005637370513,13.282931049246205,2.3914937955068685,0.06417642708675418,0.1257857970900382,nan,nan,nan
q_learning,1500,30,2.0269999999999997,0.08229209260765659,0.1612925015110069,1.3488222222222221,0.06271099502801045,0.12291355025490047,148.33333333333334,3.7778341217344362,7.404554878599495,0.08800000000000002,0.006954697411962222,0.013631206927445955,1.2337582943130814,0.16166544152255147,0.31686426538420087,117.38497320932935,6.403855156987756,12.551556107696001,2.421688005754914,0.061963031066511624,0.12144754089036278,nan,nan,nan
q_learning,1600,30,2.049,0.08281866356373278,0.16232458058491625,1.3925833333333335,0.05914247977783845,0.11591926036456336,148.66666666666666,3.827707015455674,7.502305750293121,0.073,0.006048653312643379,0.011855360492781023,1.214826602481839,0.1688338403709068,0.3309143271269773,114.43432168042652,7.08492928733202,13.88646140317076,2.4213174698143605,0.05155650158728887,0.10105074311108618,nan,nan,nan
q_learning,1700,30,1.97,0.07822602089348267,0.15332300095122603,1.4265490196078434,0.055289936496452544,0.10836827553304698,145.66666666666666,3.5778158537751636,7.012519073399321,0.089,0.005346607045271957,0.010479349808733036,1.3565432528204044,0.1775013342448126,0.34790261511983267,122.23130867525222,6.877387594645395,13.479679685504975,2.427180064600765,0.03825727427682407,0.07498425758257518,nan,nan,nan
q_learning,1800,30,1.9966666666666668,0.06934725766455274,0.13592062502252336,1.4582222222222223,0.05213674290044191,0.10218801608486613,146.33333333333334,3.233564395109213,6.337786214414057,0.07633333333333334,0.006204991193290469,0.012161782738849318,1.0507602476536466,0.18083479620747767,0.3544362005666562,109.9329804630748,7.172575207301437,14.058247406310816,2.412355239803325,0.03443858646824772,0.06749962947776553,nan,nan,nan
q_learning,1900,30,2.1233333333333335,0.10832723236578443,0.21232137543693747,1.4932280701754383,0.0500622704755318,0.09812205013204232,153.0,4.963082097653229,9.727640911400329,0.08966666666666666,0.007588305178294242,0.014873078149456714,1.4939620074806335,0.1453195146724329,0.28482624875796847,126.65479194615142,6.02833099076751,11.81552874190432,2.4623204536118863,0.05085155187326179,0.09966904167159311,nan,nan,nan
q_learning,2000,30,2.1090000000000004,0.08026300159654731,0.15731548312923274,1.5240166666666668,0.04854175524139716,0.09514184027313843,152.33333333333334,3.6729309081357218,7.198944579946015,0.09,0.006251436616499838,0.012252815768339682,1.1967776306071047,0.15646966160490866,0.30668053674562096,114.88654167837421,6.327478044742641,12.401856967695576,2.4894693449614658,0.058569316808842135,0.11479586094533058,nan,nan,nan
q_learning,2100,30,1.9956666666666663,0.07642844047479944,0.1497997433306069,1.546476190476191,0.046411872145943785,0.09096726940604982,146.66666666666666,3.5665538708128275,6.990445586793141,0.08433333333333333,0.006336962057848016,0.012420445633382111,0.7951245457485167,0.24759286589997925,0.4852820171639593,99.99104897983537,9.841372405011057,19.289089913821673,2.445441202844606,0.04007009046018637,0.07853737730196529,nan,nan,nan
q_learning,2200,30,1.9793333333333334,0.08995392605251054,0.17630969506292066,1.5661515151515153,0.04552921105449207,0.08923725366680446,146.66666666666666,4.105878413676265,8.04752169080548,0.10066666666666667,0.007862808327135542,0.015411104321185662,1.3999467726789419,0.18151609438571667,0.35577154499600466,124.66250382296782,6.833561582536443,13.393780701771428,2.433992177173621,0.0421994028912842,0.08271082966691704,nan,nan,nan
q_learning,2300,30,2.008666666666667,0.09889822160963205,0.1938405143548788,1.585391304347826,0.04485229436448222,0.08791049695438516,147.66666666666666,4.5151935927573055,8.84977944180432,0.09233333333333332,0.006707061527189228,0.013145840593290888,1.4664772143428209,0.15745482799766164,0.3086114628754168,125.25719186576544,6.676467807352742,13.085876902411373,2.41748544732397,0.04033203862025026,0.07905079569569051,nan,nan,nan
q_learning,2400,30,2.0953333333333335,0.07686939712629068,0.15066401836752974,1.6066388888888887,0.04306758390875626,0.08441246446116227,151.0,3.630965167276741,7.116691727862412,0.07566666666666667,0.0043597778424191574,0.008545164571141548,1.3292255681456586,0.1875126249222803,0.3675247448476694,120.27231558967893,7.757474126634087,15.20464928820281,2.4173070130967655,0.03904360720715738,0.07652547012602846,nan,nan,nan
q_learning,2500,30,2.0726666666666667,0.07844894867296005,0.1537599393990017,1.62528,0.0421194334703361,0.08255408960185875,149.66666666666666,3.666666666666666,7.186666666666666,0.07033333333333334,0.006839428176227731,0.013405279225406352,1.6072031261385,0.16661318859323176,0.32656184964273427,132.2069487090718,6.513099672829038,12.765675358744915,2.4029440492409884,0.043931178241870296,0.08610510935406578,nan,nan,nan
q_learning,2600,30,2.01,0.08235052638205963,0.16140703170883686,1.640076923076923,0.04156103211664212,0.08145962294861855,147.0,3.7493294419626313,7.348685706246757,0.077,0.0065591911472183155,0.012856014648547898,1.2097417638893608,0.19418232820229026,0.3805973632764889,117.18271873803748,7.388037780234296,14.480554049259219,2.3572098357844933,0.036145208187576064,0.07084460804764908,nan,nan,nan
q_learning,2700,30,2.102333333333333,0.0753713920748119,0.14772792846663133,1.6571975308641977,0.040326891742414814,0.07904070781513303,151.33333333333334,3.547164427951883,6.95244227878569,0.07566666666666665,0.003856129121381477,0.007558013077907695,1.6240991239974885,0.13949897498984717,0.27341799098010044,133.27973146067302,5.435480284705363,10.653541358022512,2.433171021500485,0.04264611756502781,0.0835863904274545,nan,nan,nan
q_learning,2800,30,2.1296666666666666,0.06760514727960673,0.13250608866802918,1.6740714285714284,0.03991332019829597,0.0782301075886601,153.0,3.0756739285793167,6.02832090001546,0.08333333333333333,0.006438628634835061,0.01261971212427672,1.7964576577201938,0.10503466683117155,0.20586794698909622,140.17759095080848,3.9877438919685613,7.81597802825838,2.46709145379489,0.03786777291361795,0.07422083491069119,nan,nan,nan
q_learning,2900,30,2.167666666666667,0.0635061465634705,0.12447204726440218,1.6910919540229885,0.0388503803464756,0.07614674547909218,154.33333333333334,2.9820664490439195,5.844850240126082,0.07333333333333333,0.0061088466720679154,0.011973339477253113,1.6506047595829734,0.10711039043916153,0.2099363652607566,133.5924767847576,4.489431316437891,8.799285380218265,2.4655764272196574,0.03440930392174968,0.06744223568662937,nan,nan,nan
q_learning,3000,30,2.129333333333333,0.08647494266440575,0.16949088762223527,1.7056999999999998,0.03875373454586792,0.07595731970990112,153.0,4.015773497299019,7.870916054706077,0.08366666666666665,0.0056218648138028305,0.011018855035053548,1.6139156162405326,0.13565427171588842,0.2658823725631413,131.83464150160896,5.535488936355898,10.849558315257559,2.4808568795583286,0.042368934406111274,0.08304311143597809,nan,nan,nan
q_learning,3100,30,2.1003333333333334,0.0796060462864724,0.1560278507214859,1.7184301075268815,0.037281482201258265,0.0730717051144662,151.0,3.6937349879112253,7.239720576306001,0.07066666666666668,0.00544424896044395,0.010670727962470141,1.529118585566768,0.15975007741416847,0.3131101517317702,128.91409851221906,6.220145891036539,12.191485946431616,2.449228093731819,0.044215018226677075,0.08666143572428707,nan,nan,nan
q_learning,3200,30,1.9909999999999999,0.07377248342264767,0.14459406750838943,1.726947916666667,0.036209473988107733,0.07097056901669116,146.0,3.4105987609283472,6.68477357141956,0.075,0.0057084329633054045,0.011188528608078592,1.7395620813339403,0.11686132640885437,0.22904819976135457,136.9551238041502,4.7037016497157795,9.219255233442928,2.394526486260161,0.04490651177079133,0.088016763070751,nan,nan,nan
q_learning,3300,30,2.123,0.07660639810019171,0.15014854027637575,1.738949494949495,0.03540242348006104,0.06938875002091964,152.66666666666666,3.617751042479842,7.09079204326049,0.08299999999999999,0.0056558382002251835,0.01108544287244136,1.6211930568906499,0.11166091328240263,0.21885539003350915,132.22125843946324,4.683041451692315,9.178761245316936,2.3914317672365457,0.04170226344784784,0.08173643635778176,nan,nan,nan
q_learning,3400,30,2.236333333333333,0.0726453886383813,0.14238496173122733,1.753578431372549,0.03452166901604857,0.0676624712714552,157.66666666666666,3.4134060696273134,6.690275896469534,0.07466666666666666,0.007314500373150052,0.014336420731374103,1.6880538282040192,0.11573012707037873,0.22683104905794232,135.21289536168234,4.6363001259045005,9.08714824677282,2.4447644065887757,0.03835780516346622,0.0751812981203938,nan,nan,nan
q_learning,3500,30,2.0116666666666663,0.07329374584558106,0.14365574185733887,1.7609523809523808,0.03389971918736339,0.06644344960723224,147.33333333333334,3.353959174705898,6.573759982423559,0.08233333333333336,0.007297981666081893,0.01430404406552051,1.8537557350759992,0.09909463703218423,0.19422548858308109,141.17042271473076,4.196862372650892,8.225850250395748,2.3960403291519166,0.045346096415731174,0.0888783489748331,nan,nan,nan
